metric,mean,median,std,min,max
Comments per post,6.430089260005759,5.0,7.038854574230191,1.0,846.0
Max depth per thread,1.3776562050100778,1.0,0.490300436451589,1.0,5.0
Thread duration (hours),0.060150772378179285,0.040802621944444444,0.21313945652973698,0.00010633916666666667,20.59859504111111
Unique agents per thread,4.567664843075151,4.0,3.146483226364642,0.0,74.0
Re-entry rate,0.19478705690859405,0.16666666666666666,0.21099205648210786,0.0,0.9846335697399528
