category,threads,comments,half_life_hours,half_life_ci_low,half_life_ci_high
Philosophy/Meta,1310,5429,0.13462558870450575,0.048119019507509256,0.2501680845403364
Other,3882,14884,0.05347864722054653,0.034257293583620556,0.07713451292236226
Builder/Technical,1853,7696,0.05292412985019467,0.03394813152517341,0.07331294395546994
Spam/Low-Signal,569,2218,0.02258720480100527,0.01150807550231592,0.032269018524436706
Social/Casual,23747,168407,0.011529208041878772,0.006707748187161132,0.017107829587676107
Creative,111,366,0.007594579251023297,0.0035103303214003368,0.0152196646406528
