n_parents,n_replied,n_threads,reply_incidence,reply_incidence_ci_low,reply_incidence_ci_high,conditional_t50_seconds,conditional_t50_ci_low_seconds,conditional_t50_ci_high_seconds,conditional_t90_seconds,conditional_t90_ci_low_seconds,conditional_t90_ci_high_seconds,pooled_reciprocity,pooled_reciprocity_ci_low,pooled_reciprocity_ci_high,reentry_mean,reentry_mean_ci_low,reentry_mean_ci_high,reentry_median,reentry_median_ci_low,reentry_median_ci_high,group_family,submolt_category,bootstrap_reps,bootstrap_cluster,ci_alpha,analysis_seed,bootstrap_seed,input_survival_path,input_thread_metrics_path
223316,21430,34730,0.0959626717297462,0.09438461207827827,0.09749912659045865,4.553797,4.5318418750000005,4.5760351,50.04957290000027,39.162071375000004,60.52264827499999,0.009979683555993352,0.009113337974286565,0.010819908155722117,0.19478705690859405,0.19257144443020663,0.1971631532356421,0.16666666666666666,0.14285714285714285,0.16666666666666666,overall,Overall,400,thread_id,0.05,20260208,20262309,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_metrics.parquet
189765,20782,26294,0.10951439938871763,0.10770036317827356,0.11125409581432019,4.5196565,4.501097799999999,4.538672050000001,24.834283100000032,16.771757325,36.118231124999994,0.008655531572771654,0.00773398064954939,0.009581111655406815,0.2134374994261169,0.21077882807489734,0.21583045291384306,0.2,0.2,0.2,submolt_category,Social/Casual,400,thread_id,0.05,20260208,20262310,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_metrics.parquet
5831,105,1400,0.01800720288115246,0.012726063711492444,0.024179472221694538,102.999949,67.672522,154.039212,2868.780089,310.053756,4188.383593,0.014351954073746963,0.00915826848051711,0.02178478511541561,0.10845128603089443,0.09823996909193582,0.11943173486504295,0.0,0.0,0.0,submolt_category,Philosophy/Meta,400,thread_id,0.05,20260208,20262311,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_metrics.parquet
8396,144,2022,0.01715102429728442,0.012609553659896605,0.021887537601437492,103.8723415,73.545440025,127.294481,434.86813440000026,287.289507,1110.223787,0.01511983271674441,0.01026639857658959,0.020857764771526892,0.13231127424294,0.1231899639307053,0.14157277791861772,0.0,0.0,0.0,submolt_category,Builder/Technical,400,thread_id,0.05,20260208,20262312,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_metrics.parquet
433,7,127,0.016166281755196306,0.00479474240512803,0.029566581916415053,28.972282,9.7995,43.566041,78.20314180000003,28.972282,130.158793,0.009259259259259259,0.0,0.020549710492868235,0.12821616214473355,0.09528888332951886,0.1647997425802544,0.0,0.0,0.0,submolt_category,Creative,400,thread_id,0.05,20260208,20262313,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_metrics.parquet
2495,22,639,0.008817635270541082,0.004317466754903129,0.01334226445226433,78.880638,33.330944,166.819122,253.2231999,133.396778,276.476654,0.006007646095030038,0.001562436168437124,0.011409659838689827,0.14432475652704316,0.1264690493974289,0.16277417010531534,0.0,0.0,0.0,submolt_category,Spam/Low-Signal,400,thread_id,0.05,20260208,20262314,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_metrics.parquet
16396,370,4248,0.02256647962917785,0.018373361034066546,0.026743968595094154,90.256808,70.497867,107.085545,349.83826710000005,247.14602242499998,594.533,0.02206331211301997,0.01731564867575495,0.02769823012692231,0.14688204980133476,0.1393066426641477,0.15431912963731287,0.0,0.0,0.0,submolt_category,Other,400,thread_id,0.05,20260208,20262315,data_features/moltbook_only/run_20260206-145240Z/survival_units.parquet,data_features/moltbook_only/run_20260206-145240Z/thread_metrics.parquet
