bin_minutes,target_frequency_per_hour,target_frequency_nearest_per_hour,target_period_hours_nearest,target_power,background_power_median,peak_to_background_ratio,dominant_frequency_per_hour,dominant_period_hours,fisher_g,fisher_g_p_value_ar1,target_power_p_value_ar1,ar1_phi,target_p_lt_0_05
5,0.25,0.28125,3.5555555555555554,2.394113589970279,0.055546851245823016,43.100797547913395,0.1875,5.333333333333333,0.0863007752627374,0.2385,0.508,0.8146076470830007,False
15,0.25,0.25,4.0,1.2152691649615626,0.1896447457964916,6.408135167982307,0.15625,6.4,0.09371090048065756,0.6855,0.501,0.730780269896234,False
30,0.25,0.25,4.0,1.300261567945813,0.45096851156831,2.883264650615982,0.125,8.0,0.10750522181170585,0.6315,0.556,0.5643016125800598,False
