group_label,n_parent_comments,n_events,observed_reply_probability,conditional_median_reply_minutes,half_life_hours,implied_eventual_reply_probability
Overall,199000,17915,0.0900251256281407,0.07590916666666667,0.013276448867669589,0.09281944720545698
Builder/Technical,7696,133,0.017281704781704783,1.9178118333333334,0.05292412985019467,0.01731530161323136
Philosophy/Meta,5429,101,0.018603794437281267,1.8438908333333333,0.13462558870450575,0.018671210775812352
Social/Casual,168407,17337,0.10294702714257721,0.07528798333333334,0.011529208041878772,0.10666055661243112
Creative,366,7,0.01912568306010929,0.48287136666666663,0.007594579251023297,0.019123224201603173
Spam/Low-Signal,2218,20,0.009017132551848512,1.3146773,0.02258720480100527,0.009015666322249705
Other,14884,317,0.021298038161784466,1.4835247333333332,0.05347864722054653,0.021368659160068137
