group_label,n_parent_comments,n_events,observed_reply_probability,conditional_median_reply_minutes,half_life_hours,implied_eventual_reply_probability,group_family,n_threads,half_life_minutes
Claimed,18367,3341,0.18190232482169108,0.07345846666666667,0.008015408821819439,0.19359302659887023,is_claimed,10246,0.48092452930916635
Unclaimed,180633,14574,0.08068293169022271,0.07666339999999999,0.014494297398652267,0.082900555278695,is_claimed,31090,0.869657843919136
0,176689,14858,0.08409125638834336,0.07633514166666665,0.014232886697054591,0.08651004187122391,follower_count_bin,30694,0.8539732018232755
1-9,21167,3042,0.14371427221618557,0.07444229166666666,0.0086159135281754,0.1509616291354937,follower_count_bin,12072,0.516954811690524
10+,238,4,0.01680672268907563,0.9753948833333334,0.030813156194290335,0.01683706792288231,follower_count_bin,230,1.8487893716574202
